variable,label,block,r,p,se
govtfund_5_7,Govt funding likelihood: Taxpayer money is wasted,Govt Funding,-0.468,0,0.052
govtfund_8_7,Tax investment: ...benefits people like you,Govt Funding,0.454,0,0.052
govtfund_8_2,Tax investment: ...improves health and saves lives,Govt Funding,0.435,0,0.053
univ_5_1,Benefits: You personally,University Perceptions,0.434,0,0.053
univ_5_2,Benefits: People you care about,University Perceptions,0.416,0,0.053
univ_2_7,Univ. contributes to: Increased compassion and tolerance,University Perceptions,0.412,0,0.053
climate_3,Trust in climate scientists,Climate,0.41,0,0.053
research_3_4,Effects on: People in the US,Research Beliefs,0.4,0,0.054
climate_4_4,"Climate research importance: Climate policy, economics, and human impact",Climate,0.399,0,0.054
govtfund_2,Govt investment is ESSENTIAL (vs. private sufficient),Govt Funding,0.396,0,0.055
govtfund_8_4,Tax investment: ...makes America a leader,Govt Funding,0.396,0,0.054
gotvfund_6_4,University research benefits lives in ways hard to see,Govt Funding,0.392,0,0.054
univ_5_7,Benefits: Society as a whole,University Perceptions,0.386,0,0.054
climate_4_1,Climate research importance: Climate science and earth systems,Climate,0.385,0,0.054
govtfund_7_2,Priority: Advance knowledge and benefit society,Govt Funding,0.38,0,0.054
climate_4_2,Climate research importance: Climate mitigation approaches,Climate,0.38,0,0.054
govtfund_8_1,Tax investment: ...boosts the economy,Govt Funding,0.372,0,0.054
gotvfund_6_2,Oversight committees protect against unethical research,Govt Funding,0.362,0,0.055
govtfund_5_6,Govt funding likelihood: Money spent on less important things,Govt Funding,-0.36,0,0.055
govtfund_8_6,Tax investment: ...leads to scientific breakthroughs,Govt Funding,0.359,0,0.055
climate_4_3,Climate research importance: Climate adaptation and resilience,Climate,0.352,0,0.055
univ_5_5,Benefits: Students' families,University Perceptions,0.349,0,0.055
univ_5_6,Benefits: Employers and businesses,University Perceptions,0.34,0,0.055
univ_4_3,Universities apply knowledge-based solutions,University Perceptions,0.339,0,0.055
gotvfund_6_3,Many everyday tools are the result of academic research,Govt Funding,0.338,0,0.055
univ_2_5,Univ. contributes to: US competitive advantage,University Perceptions,0.338,0,0.055
govtfund_3,Knowledge of funding cuts,Govt Funding,0.336,0,0.055
univ_2_4,Univ. contributes to: A more knowledgeable population,University Perceptions,0.332,0,0.055
univ_2_9,Univ. contributes to: Better international relations,University Perceptions,0.332,0,0.055
research_3_2,Effects on: People you care about,Research Beliefs,0.327,0,0.055
highered_3_5,Contribution to science: State colleges and universities,Higher Education,0.324,0,0.057
univ_5_3,Benefits: Local communities,University Perceptions,0.324,0,0.055
univ_2_3,Univ. contributes to: Higher household incomes,University Perceptions,0.323,0,0.055
univ_4_2,Universities apply and connect knowledge,University Perceptions,0.323,0,0.055
research_3_3,Effects on: Local community,Research Beliefs,0.322,0,0.055
research_3_1,Effects on: You personally,Research Beliefs,0.321,0,0.055
highered_2_2,Trust: State public university system,Higher Education,0.319,0,0.055
univ_5_4,Benefits: Students who attend,University Perceptions,0.313,0,0.056
govtfund_5_10,Govt funding likelihood: Researchers lie to maintain funding,Govt Funding,-0.311,0,0.056
univ_4_1,Universities discover new knowledge,University Perceptions,0.309,0,0.056
past_engage_5,Talked to others about cuts to research funding,Past Engagement,0.305,0,0.056
univ_2_8,Univ. contributes to: Overall economic growth,University Perceptions,0.302,0,0.056
univ_2_1,Univ. contributes to: Greater innovation,University Perceptions,0.301,0,0.056
govtfund_8_3,Tax investment: ...drives industry investment,Govt Funding,0.3,0,0.056
univ_2_2,Univ. contributes to: Better jobs and career advancement,University Perceptions,0.299,0,0.056
univ_2_6,Univ. contributes to: More entrepreneurship,University Perceptions,0.299,0,0.056
govtfund_9_3,Approve cuts to: Science funding,Govt Funding,-0.298,0,0.056
govtfund_8_5,Tax investment: ...protects national security,Govt Funding,0.297,0,0.056
climate_1,Believes global warming is happening,Climate,0.297,0,0.059
research_3_11,Effects on: The US government,Research Beliefs,0.294,0,0.056
highered_1_2,Approval: State public university system,Higher Education,0.294,0,0.056
highered_2_1,Trust: Private colleges and universities,Higher Education,0.288,0,0.056
highered_3_1,Contribution to science: Private colleges and universities,Higher Education,0.286,0,0.058
govtfund_5_4,Govt funding likelihood: Results become publicly available,Govt Funding,0.285,0,0.056
research_3_13,Effects on: Disadvantaged individuals,Research Beliefs,0.282,0,0.056
gotvfund_6_7,Govt-funded research is more objective than privately funded,Govt Funding,0.282,0,0.056
univ_2_10,Univ. contributes to: Benefits to local communities,University Perceptions,0.279,0,0.056
research_3_7,Effects on: Universities themselves,Research Beliefs,0.272,0,0.056
govtfund_9_2,Approve cuts to: Education funding,Govt Funding,-0.271,0,0.056
govtfund_9_4,Approve cuts to: Arts funding,Govt Funding,-0.27,0,0.056
research_4_8,Research advancing knowledge is necessary even w/o immediate benefits,Research Beliefs,0.269,0,0.056
research_5.2_2,Likelihood: Developing new medicines,Research Beliefs,0.268,0,0.056
research_3_5,Effects on: Students at universities,Research Beliefs,0.265,0,0.056
research_4_7,Scientific research will create opportunities for next generation,Research Beliefs,0.265,0,0.056
climate_2,Believes global warming is caused by humans,Climate,0.26,0,0.057
research_4_5,Benefits of scientific research outweigh harms,Research Beliefs,0.259,0,0.057
govtfund_5_3,Govt funding likelihood: Exciting research is sped up,Govt Funding,0.256,0,0.057
highered_2_3,Trust: Local community college(s),Higher Education,0.245,0,0.057
politics_ideology,Political ideology (liberal → conservative),Demographics,-0.241,0,0.057
govfund_10,Local area would be negatively impacted by cuts,Govt Funding,-0.24,0,0.057
research_5.2_9,Likelihood: Exploring space,Research Beliefs,0.238,0,0.057
research_5.2_4,Likelihood: Developing new energy technologies,Research Beliefs,0.235,0,0.057
gotvfund_6_5,University researchers motivated primarily by profit,Govt Funding,-0.235,0,0.057
past_engage_4,Shared info online about cuts to research funding,Past Engagement,0.235,0,0.057
research_5.2_1,Likelihood: Advancing social science,Research Beliefs,0.233,0,0.057
highered_1_1,Approval: Private colleges and universities,Higher Education,0.233,0,0.057
past_engage_2,Shared/commented social media posts about science,Past Engagement,0.23,0,0.057
research_2,Scientific methods are the best way to find truth,Research Beliefs,0.229,0,0.057
research_1,Knowledge of university research,Research Beliefs,0.226,0,0.057
research_5.2_11,Likelihood: Better public policies,Research Beliefs,0.224,0,0.057
govtfund_5_2,Govt funding likelihood: Research can focus long-term,Govt Funding,0.222,0,0.057
govtfund_9_1,Approve cuts to: Health research funding,Govt Funding,-0.222,0,0.057
highered_3_6,Contribution to science: Community colleges,Higher Education,0.221,0,0.059
research_5.1_13,Importance: Awareness of others' experiences,Research Beliefs,0.217,0,0.057
past_engage_1,Conversations about science topics,Past Engagement,0.216,0,0.057
research_4_2,I know where to look up academic research,Research Beliefs,0.215,0,0.057
govtfund_9_5,Approve cuts to: Humanities funding,Govt Funding,-0.213,0,0.057
research_4_1,I usually understand academic research findings,Research Beliefs,0.212,0,0.057
research_5.1_3,Importance: Protecting the environment,Research Beliefs,0.212,0,0.057
research_5.2_10,Likelihood: Improving education systems,Research Beliefs,0.209,0,0.057
govtfund_5_9,Govt funding likelihood: Political agendas influence funding,Govt Funding,-0.209,0,0.057
research_5.2_3,Likelihood: Protecting the environment,Research Beliefs,0.205,0,0.057
research_3_6,Effects on: Scientists at universities,Research Beliefs,0.201,0.001,0.057
highered_3_3,Contribution to science: Federal government agencies,Higher Education,0.2,0.001,0.059
research_3_9,Effects on: Technology companies,Research Beliefs,0.193,0.001,0.057
research_5.1_9,Importance: Exploring space,Research Beliefs,0.18,0.002,0.058
past_engage_3,Attended rallies or protests about science,Past Engagement,0.18,0.002,0.058
highered_3_4,Contribution to science: Charitable foundations,Higher Education,0.175,0.004,0.06
research_3_10,Effects on: The military,Research Beliefs,0.173,0.003,0.058
research_5.1_8,Importance: AI and machine learning,Research Beliefs,0.172,0.003,0.058
govtfund_5_1,Govt funding likelihood: Researchers have enough resources,Govt Funding,0.172,0.003,0.058
research_4_3,Clear how to apply research findings in my life,Research Beliefs,0.17,0.003,0.058
lgbtq,LGBTQ+ identity,Demographics,0.168,0.004,0.058
research_5.1_11,Importance: Better public policies,Research Beliefs,0.164,0.005,0.058
research_5.1_10,Importance: Improving education systems,Research Beliefs,0.163,0.005,0.058
research_3_8,Effects on: Pharmaceutical companies,Research Beliefs,0.162,0.005,0.058
research_5.1_4,Importance: Developing new energy technologies,Research Beliefs,0.161,0.006,0.058
past_engage_6,Contacted reps to oppose cuts to research funding,Past Engagement,0.16,0.006,0.058
highered_1_3,Approval: Local community college(s),Higher Education,0.16,0.006,0.058
highered_4_5,Proportion nonprofit: Federal government agencies,Higher Education,0.158,0.009,0.06
past_engage_7,Contacted reps to support research funding,Past Engagement,0.155,0.008,0.058
research_5.2_12,Likelihood: Helping individuals improve their lives,Research Beliefs,0.154,0.008,0.058
research_4_4,I think about the impact of science on my daily life,Research Beliefs,0.151,0.01,0.058
highered_4_6,Proportion nonprofit: Charitable foundations,Higher Education,0.151,0.011,0.059
research_5.1_1,Importance: Advancing social science,Research Beliefs,0.15,0.01,0.058
govtfund_5_5,Govt funding likelihood: Funded researchers held to higher standards,Govt Funding,0.147,0.011,0.058
ses_degree,Education level,Demographics,0.144,0.014,0.058
research_5.2_6,Likelihood: Innovative manufacturing,Research Beliefs,0.135,0.021,0.058
research_5.2_13,Likelihood: Awareness of others' experiences,Research Beliefs,0.131,0.025,0.058
govtfund_4_11,Perceived support: Medical and mental health professionals,Govt Funding,0.131,0.025,0.058
govtfund_5_8,Govt funding likelihood: Research delayed by oversight,Govt Funding,-0.13,0.026,0.058
highered_4_3,Proportion nonprofit: Community colleges,Higher Education,0.126,0.038,0.061
ses_ladder,Subjective SES (ladder),Demographics,0.121,0.038,0.058
govtfund_4_4,Perceived support: The general public,Govt Funding,0.12,0.04,0.058
govtfund_7_1,Priority: Making a profit,Govt Funding,-0.117,0.044,0.058
highered_4_2,Proportion nonprofit: Public state colleges and universities,Higher Education,0.116,0.056,0.06
research_5.1_5,Importance: Technologies for economic growth,Research Beliefs,0.112,0.055,0.058
govtfund_4_2,Perceived support: Students at universities,Govt Funding,0.112,0.054,0.058
gotvfund_6_9,Results of private company research will become publicly accessible,Govt Funding,0.109,0.061,0.058
highered_4_1,Proportion nonprofit: Private colleges and universities,Higher Education,0.108,0.076,0.061
research_5.2_5,Likelihood: Technologies for economic growth,Research Beliefs,0.105,0.072,0.058
govtfund_7_4,Priority: Serve interests of the government,Govt Funding,-0.105,0.072,0.058
govtfund_4_6,Perceived support: People who identify as liberals,Govt Funding,0.103,0.076,0.058
gotvfund_6_1,Rules should ensure govt-funded research is done well,Govt Funding,0.103,0.078,0.058
research_6.2_6,Neg. likelihood: Research wastes money,Research Beliefs,-0.099,0.089,0.058
research_3_12,Effects on: Wealthy individuals,Research Beliefs,0.098,0.094,0.058
research_6.2_10,Neg. likelihood: Findings are misused,Research Beliefs,-0.089,0.129,0.058
research_6.2_1,Neg. likelihood: Researchers make mistakes,Research Beliefs,-0.088,0.132,0.058
research_5.1_12,Importance: Helping individuals improve their lives,Research Beliefs,0.086,0.139,0.058
highered_4_4,"Proportion nonprofit: Private companies (pharma, tech)",Higher Education,0.086,0.151,0.06
research_5.2_7,Likelihood: Defense and national security technologies,Research Beliefs,0.084,0.15,0.058
research_6.1_10,Problematic: Findings are misused,Research Beliefs,-0.076,0.191,0.058
research_6.2_5,Neg. likelihood: Studies fail to yield results,Research Beliefs,0.074,0.208,0.058
research_5.1_2,Importance: Developing new medicines,Research Beliefs,0.068,0.247,0.058
research_6.1_5,Problematic: Studies fail to yield results,Research Beliefs,-0.064,0.272,0.058
research_6.1_6,Problematic: Research wastes money,Research Beliefs,-0.059,0.31,0.058
govtfund_4_3,Perceived support: Scientists at universities,Govt Funding,0.054,0.357,0.058
research_5.1_6,Importance: Innovative manufacturing,Research Beliefs,0.053,0.365,0.058
research_6.2_3,Neg. likelihood: Few people can access results,Research Beliefs,-0.053,0.365,0.058
govtfund_4_8,Perceived support: People who favor minimal govt spending,Govt Funding,0.052,0.376,0.058
research_6.1_4,Problematic: Findings don't generalize,Research Beliefs,0.051,0.387,0.058
gotvfund_6_6,Private companies research primarily to benefit the public,Govt Funding,0.049,0.401,0.058
research_6.2_8,Neg. likelihood: New tech invades privacy,Research Beliefs,-0.048,0.415,0.058
research_6.2_11,Neg. likelihood: Results reporting is biased by media,Research Beliefs,-0.047,0.426,0.058
ses_income,Household income,Demographics,0.047,0.433,0.059
govtfund_4_7,Perceived support: People who identify as conservatives,Govt Funding,0.045,0.446,0.058
highered_3_2,"Contribution to science: Private companies (pharma, tech)",Higher Education,0.044,0.465,0.06
research_4_6,Science makes our way of life change too fast,Research Beliefs,-0.042,0.478,0.058
research_5.1_7,Importance: Defense and national security technologies,Research Beliefs,-0.041,0.48,0.058
govtfund_4_5,Perceived support: People in the military,Govt Funding,0.04,0.493,0.058
govtfund_7_3,Priority: Develop products that can be sold,Govt Funding,0.038,0.511,0.058
research_6.2_7,Neg. likelihood: New tech eliminates jobs,Research Beliefs,-0.036,0.541,0.058
govtfund_4_1,Perceived support: People who directly benefit,Govt Funding,0.033,0.576,0.058
research_6.1_7,Problematic: New tech eliminates jobs,Research Beliefs,0.032,0.581,0.058
research_6.1_11,Problematic: Results reporting is biased by media,Research Beliefs,-0.029,0.622,0.058
age,Age,Demographics,-0.023,0.696,0.059
research_6.1_2,Problematic: Research is slow to have impact,Research Beliefs,-0.022,0.708,0.059
govtfund_4_12,Perceived support: Pharmaceutical companies,Govt Funding,-0.018,0.764,0.059
research_6.1_9,Problematic: Research creates dangerous technology,Research Beliefs,0.016,0.789,0.059
research_6.2_2,Neg. likelihood: Research is slow to have impact,Research Beliefs,0.015,0.796,0.059
research_6.2_9,Neg. likelihood: Research creates dangerous technology,Research Beliefs,-0.015,0.796,0.059
research_6.1_3,Problematic: Few people can access results,Research Beliefs,0.014,0.813,0.059
research_5.2_8,Likelihood: AI and machine learning,Research Beliefs,-0.012,0.84,0.059
govtfund_4_10,Perceived support: People who don't believe in mainstream science,Govt Funding,0.011,0.852,0.059
research_6.2_4,Neg. likelihood: Findings don't generalize,Research Beliefs,-0.01,0.862,0.059
govtfund_4_13,Perceived support: Technology companies,Govt Funding,0.009,0.872,0.059
research_6.1_1,Problematic: Researchers make mistakes,Research Beliefs,0.007,0.905,0.059
govtfund_4_9,Perceived support: Politicians,Govt Funding,-0.007,0.907,0.059
gotvfund_6_8,Private company research is biased toward company interests,Govt Funding,-0.005,0.927,0.059
research_6.1_8,Problematic: New tech invades privacy,Research Beliefs,-0.004,0.946,0.059
